data,ipca,meta,selic,ibcbr,ibcbrT,LibcbrT,outgap,Loutgap,juroreal,inflacao,jlag
2004-10-01,6.86,5.5,16.41,108.89,107.93383218795981,4.680659486100489,0.9561678120401922,0.009678712257480626,8.936926820138492,1.3600000000000003,8.800374882849106
2004-11-01,7.24,5.5,16.96,109.59,108.34979404853352,4.684498738326798,1.2402059514664785,0.012247391148502373,9.063782170831791,1.7400000000000002,8.936926820138492
2004-12-01,7.6,5.5,17.5,107.56,108.76492635017796,4.68831821132935,-1.2049263501779564,-0.010269379928685929,9.20074349442379,2.0999999999999996,9.063782170831791
2005-01-01,7.41,4.5,17.93,103.52,109.17988156772776,4.692123496974103,-5.659881567727766,-0.05235866622151253,9.794246345777879,2.91,9.20074349442379
2005-02-01,7.39,4.5,18.47,104,109.59522850057662,4.695919473975636,-5.595228500576624,-0.0515285748342631,10.317534221063408,2.8899999999999997,9.794246345777879
2005-03-01,7.54,4.5,18.97,115.42,110.01114290078718,4.6997073850300355,5.408857099212824,0.048870264252784956,10.628603310396123,3.04,10.317534221063408
2005-04-01,8.07,4.5,19.32,112.35,110.42741196288723,4.703484894460139,1.9225880371127602,0.01813410417119865,10.409919496622555,3.5700000000000003,10.628603310396123
2005-05-01,8.05,4.5,19.61,110.86,110.844198496481,4.707253060357136,0.015801503519000448,0.001015083634523073,10.698750578435924,3.5500000000000007,10.409919496622555
2005-06-01,7.27,4.5,19.75,111.5,111.26179882423075,4.711014200125001,0.23820117576924815,0.0030103907751728443,11.63419408968025,2.7699999999999996,10.698750578435924
2005-07-01,6.57,4.5,19.72,113.15,111.68051036612546,4.714770701659631,1.4694896338745451,0.0139436704199154,12.339307497419538,2.0700000000000003,11.63419408968025
2005-08-01,6.02,4.5,19.75,115.15,112.10064708390236,4.718525161911839,3.0493529160976465,0.027710464354854913,12.950386719486895,1.5199999999999996,12.339307497419538
2005-09-01,6.04,4.5,19.61,110.95,112.52262498718997,4.72228114614288,-1.5726249871899682,-0.0132014967642764,12.79705771407016,1.54,12.950386719486895
2005-10-01,6.36,4.5,19.25,111.33,112.94707184623596,4.726044143951814,-1.6170718462359588,-0.013545380211198221,12.119217751034217,1.8600000000000003,12.79705771407016
2005-11-01,6.22,4.5,18.87,111.73,113.37450622121946,4.729818728167092,-1.6445062212194586,-0.013733481607845377,11.909244963283761,1.7199999999999998,12.119217751034217
2005-12-01,5.69,4.5,18.24,111.25,113.80533437566353,4.733608530965761,-2.5553343756635343,-0.021828609919412045,11.874349512725901,1.1900000000000004,11.909244963283761
2006-01-01,5.7,4.5,17.65,108.55,114.23984837127047,4.737416230810869,-5.689848371270472,-0.050205334486568276,11.305581835383173,1.2000000000000002,11.874349512725901
2006-02-01,5.51,4.5,17.28,107.8,114.67816281596635,4.741242990289773,-6.878162815966348,-0.06096533181487551,11.155340725997531,1.0099999999999998,11.305581835383173
2006-03-01,5.32,4.5,16.74,119.09,115.11999718931821,4.745086485508268,3.970002810681791,0.034793024271636774,10.843144701861007,0.8200000000000003,11.155340725997531
2006-04-01,4.63,4.5,16.19,112.61,115.56459332069768,4.748940158868555,-2.9545933206976827,-0.0250096371596209,11.048456465640832,0.1299999999999999,10.843144701861007
2006-05-01,4.23,4.5,15.7,117.19,116.01146873411568,4.752799868955072,1.1785312658843168,0.0109966803154391,11.00450925837091,-0.2699999999999996,11.048456465640832
2006-06-01,4.03,4.5,15.18,114.4,116.45993577349154,4.756659737571899,-2.0599357734915316,-0.016958658626201384,10.718062097471881,-0.46999999999999975,11.00450925837091
2006-07-01,3.97,4.5,14.98,119.41,116.90938862519369,4.760514650181472,2.5006113748063115,0.022048299363821577,10.589593151870735,-0.5299999999999998,10.718062097471881
2006-08-01,3.84,4.5,14.66,121.06,117.3590784244951,4.764358314561601,3.700921575504907,0.031927975901940187,10.419876733436052,-0.6600000000000001,10.589593151870735
2006-09-01,3.7,4.5,14.17,116.21,117.8084299602365,4.768185969621995,-1.5984299602365013,-0.012787070387212829,10.096432015429112,-0.7999999999999998,10.419876733436052
2006-10-01,3.26,4.5,13.95,119.33,118.25712502970134,4.771995071492913,1.0728749702986562,0.009897692888650944,10.352508231648262,-1.2400000000000002,10.096432015429112
